	GSM8343538	GSM8343539	GSM8343540	GSM8343541	GSM8343542	GSM8343543
106632264	25992	14706	1364	2235	2035	590
105379507	61	25	32	27	19	13
107987294	98	19	46	24	22	19
102723603	30	55	92	62	59	51
103504731	18408	970	1364	1098	999	569
100132288	2	1	14	42	51	61
105372733	6	7	11	6	15	7
85319	47	22	23	23	20	13
105378260	20	29	26	20	34	16
105377134	241	312	264	232	206	217
149998	14	73	80	87	69	69
54033	48	176	257	191	168	97
6782	681	4017	5042	5259	5562	4128
105369304	32	100	102	100	95	77
107987295	198	432	538	567	544	591
8204	2317	5706	11129	9814	9466	9362
101927745	1	10	44	34	27	64
29761	918	2528	3603	3540	3572	3112
388815	1026	3467	1565	2105	2326	2813
109617014	13	36	9	23	11	33
112268282	305	272	183	191	189	284
407055	4	14	9	13	5	15
406885	28	24	12	8	14	10
406912	0	11	10	8	8	14
100189284	27	286	144	226	297	144
1525	2739	7970	9811	9505	9120	6148
10950	703	1356	1537	1499	1519	1050
110806272	232	177	230	305	283	186
246312	5	40	47	76	56	57
54149	268	1345	2178	2305	2292	1688
140578	264	592	525	1015	964	339
107987296	6	3	15	13	8	11
5651	2	11	0	13	7	4
4685	141	315	368	696	1000	908
266917	0	8	54	122	136	206
54072	3	12	15	17	16	11
105372753	8	27	20	18	29	17
114614	10	75	56	77	72	84
282566	8	45	32	39	32	27
54148	396	1293	1556	1594	1694	1458
58494	1795	3956	2382	3141	3718	3648
522	342	1773	2094	2300	2743	1908
2551	715	2463	3400	3704	3870	3064
105372756	17	21	19	38	24	28
351	13147	18573	20383	25807	26038	22714
100996571	79	106	239	202	173	139
107985474	33	19	79	48	52	43
116159	1213	1952	5864	4478	3942	3084
9510	776	811	1086	977	1114	1134
11096	83	250	107	133	194	80
29104	298	1033	1372	1292	1273	1105
26046	1075	3610	3838	4128	4376	3758
105372766	2	12	6	3	11	9
10069	494	736	1239	1163	1242	916
10600	1194	3297	3492	3650	4214	3315
